id,pubyear,titles,author,affiliated,wos_total,journal,issns,eissns
WOS:000072048400043,1998,Human vascular endothelial cells are a rich and regulatable source of secretory sphingomyelinase - Implication for early atherogenesis and ceramide-mediated cell signaling,"Beatini, N|Marathe, S|Schissel, SL|Yellin, MJ|Tabas, I|Williams, KJ|Mintzer, R",Thomas Jefferson Univ|Berlex Biosci|Columbia Univ|Columbia Univ,164,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000073241200055,1998,Dynamic activation of endothelial nitric oxide synthase by Hsp90,"Shah, V|Fan, R|Garcia-Cardena, G|Cirino, G|Sorrentino, R|Sessa, WC|Papapetropoulos, A",Univ Naples Federico II|Yale Univ|Yale Univ|Yale Univ,739,NATURE,0028-0836,1476-4687
WOS:000075071500005,1998,Characterization of rat lung ICAM-1,"Schimmer, RC|Ward, PA|Pasch, T|Friedl, HP|Flory, CM|Schmal, H|Beck-Schimmer, B",Warner Lambert Parke Davis|Univ Zurich|Univ Zurich|Univ Michigan,11,INFLAMMATION RESEARCH,1023-3830,1420-908X
WOS:000075268900030,1998,Dermal microvascular injury in the human peripheral blood lymphocyte reconstituted severe combined immunodeficient (HuPBL-SCID) mouse/skin allograft model is T cell mediated and inhibited by a combination of cyclosporine and rapamycin,"Epperson, DE|Schechner, JS|Hughes, CCW|Lorber, MI|Askenase, PW|Pober, JS|Murray, AG|Sultan, P|McNiff, JM",Yale Univ|Yale Univ|Yale Univ|Yale Univ|Yale Univ|Yale Univ|Univ Alberta|Yale Univ,45,AMERICAN JOURNAL OF PATHOLOGY,0002-9440,1525-2191
WOS:000078904900032,1999,Inhibition of copper/zinc superoxide dismutase impairs NO center dot-mediated endothelium-dependent relaxations,"Katusic, ZS|Wambi-Kiesse, CO",Mayo Clin & Mayo Fdn|Mayo Clin & Mayo Fdn,37,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000079616600014,1999,Mechanisms of enhanced lung injury during sepsis,"Czermak, BJ|Friedl, HP|Ward, PA|Breckwoldt, M|Ravage, ZB|Huber-Lang, M|Schmal, H|Bless, NM",Univ Freiburg|Univ Michigan|Univ Michigan,83,AMERICAN JOURNAL OF PATHOLOGY,0002-9440,1525-2191
WOS:000080919500021,1999,Lipoxin and aspirin-triggered 15-epi-lipoxin cellular interactions anti-inflammatory lipid mediators,"Serhan, CN|Takano, T|Gronert, K|Chiang, N|Clish, CB",Harvard Univ|Brigham & Womens Hosp,27,CLINICAL CHEMISTRY AND LABORATORY MEDICINE,1434-6621,1437-4331
WOS:000081438300021,1999,Shear stress-mediated extracellular signal-regulated kinase activation is regulated by sodium in endothelial cells - Potential role for a voltage-dependent sodium channel,"Tupper, JC|Ishida, M|Ishida, T|Traub, O|Berk, BC",Univ Rochester|Univ Washington,46,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000085257500041,2000,Quantification of eNOS mRNA in the canine cardiac vasculature by competitive PCR,"Zhang, XP|Papapetropoulos, A|Fulton, D|Hintze, TH|Catravas, JD|Sessa, WC",Med Coll Georgia|Med Coll Georgia|New York Med Coll|Yale Univ,11,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000088023900025,2000,"Chlamydia, inflammation, and atherogenesis","Blessing, E|Lin, TM|Moazed, TC|Campbell, LA|Rosenfeld, ME|Kuo, CC",Univ Washington|Univ Washington,29,JOURNAL OF INFECTIOUS DISEASES,0022-1899,1537-6613
WOS:000088594500008,2000,Angiotensin-(1-7) causes endothelium-dependent relaxation in canine middle cerebral artery,"Katusic, ZS|Smith, L|Feterik, K",Mayo Clin|Mayo Clin|Mayo Clin,45,BRAIN RESEARCH,0006-8993,1872-6240
WOS:000088749400010,2000,Regulation of ciliary beat frequency by the nitric oxide-cyclic guanosine monophosphate signaling pathway in rat airway epithelial cells,"Zhan, XH|Shirakami, G|Li, DC|Johns, RA",Johns Hopkins Univ,71,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,1044-1549,1535-4989
WOS:000089467300005,2000,eNOS-deficient mice show reduced pulmonary vascular proliferation and remodeling to chronic hypoxia,"Quinlan, TR|Li, DC|Laubach, VE|Shesely, EG|Zhou, N|Johns, RA",Henry Ford Hosp|Univ Virginia|Univ Virginia,69,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1040-0605,1522-1504
WOS:000089634400028,2000,"VEGF-C and VEGF-D expression in neuroendocrine cells and their receptor, VEGFR-3, in fenestrated blood vessels in human tissues","Arola, J|Partanen, TA|Saaristo, A|Alitalo, K|Achen, MG|Stacker, SA|Miettinen, M|Ora, A|Jussila, L",Royal Melbourne Hosp|Armed Forces Inst Pathol|Univ Helsinki|Univ Helsinki,230,FASEB JOURNAL,0892-6638,1530-6860
WOS:000089812000005,2000,Blockade of smooth muscle cell migration and proliferation in baboon aortic explants by interleukin-1 beta and tumor necrosis factor-alpha is nitric oxide-dependent and nitric oxide-independent,"Clowes, AW|Kenagy, RD",Univ Washington,16,JOURNAL OF VASCULAR RESEARCH,1018-1172,1423-0135
WOS:000165186700009,2000,Molecular mechanisms of decreased smooth muscle differentiation marker expression after vascular injury,"Adam, PJ|Regan, CP|Madsen, CS|Owens, GK",Bristol Myers Squibb Co|Univ Virginia,154,JOURNAL OF CLINICAL INVESTIGATION,0021-9738,1558-8238
WOS:000165997000011,2001,Estradiol-induced attenuation of pulmonary hypertension is not associated with altered eNOS expression,"Kanagy, NL|Walker, BR|Resta, TC",Univ New Mexico,69,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1040-0605,1522-1504
WOS:000166492300002,2001,Transactivation: a novel signaling pathway from angiotensin II to tyrosine kinase receptors,"Saito, Y|Berk, BC",Univ Rochester,123,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000168122300022,2001,"Effects of L-749,329, an ETA/ETB endothelin receptor antagonist, in a porcine coronary artery injury model of vascular restenosis","Acker, WR|Huckle, WR|Drag, MD|Powers, M|McFall, RC|Holder, DJ|Walsh, TF|Schwartz, RS|Greenlee, WJ|Johnson, RG",Mayo Clin & Mayo Fdn|Merck Res Labs|Merck Res Labs|Merck Res Labs|Merck Res Labs,10,CIRCULATION,0009-7322,1524-4539
WOS:000168208500013,2001,Flow-induced dilation of human coronary arterioles - Important role of Ca2+-activated K+ channels,"Wachtel, RE|Miura, H|Miura, M|Saito, T|Loberiza, FR|Liu, YP|Gutterman, DD",Med Coll Wisconsin|Med Coll Wisconsin|Med Coll Wisconsin|Vet Adm Med Ctr|Univ Iowa|Akita Univ,177,CIRCULATION,0009-7322,1524-4539
WOS:000168761600036,2001,Nitric oxide decreases pacemaker activity in lymphatic vessels of guinea pig mesentery,"Zhao, J|von der Weid, PY|Ven Helden, DF",Univ Newcastle|Univ Calgary|Univ Calgary,60,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000168769200006,2001,Cardiomyocyte grafting for cardiac repair: Graft cell death and anti-death strategies,"Walsh, K|Zhang, M|Methot, D|Poppa, V|Fujio, Y|Murry, CE",St Elizabeths Med Ctr|Univ Washington,552,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000169339300019,2001,Evidence for the role of alveolar epithelial gp60 in active transalveolar albumin transport in the rat lung,"Tiruppathi, C|John, TA|Vogel, SM|Minshall, RD|Ridge, K|Malik, AB",Northwestern Univ|Univ Illinois,62,JOURNAL OF PHYSIOLOGY-LONDON,0022-3751,1469-7793
WOS:000169570800002,2001,Vascular smooth muscle growth: Autocrine growth mechanisms,"Berk, BC",Univ Rochester,262,PHYSIOLOGICAL REVIEWS,0031-9333,1522-1210
WOS:000169829200029,2001,Quantification of 3-D regional myocardial deformation: shape-based analysis of magnetic resonance images,"Shi, PC|Duncan, JS|Sinusas, AJ|Papademetris, X|Constable, RT|Dione, DP|Slade, MD",Yale Univ|Yale Univ|Yale Univ,21,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000170085400004,2001,Review article: lymphatic vessel pumping and inflammation - the role of spontaneous constrictions and underlying electrical pacemaker potentials,"Von Der Weid, PY",Univ Calgary,44,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0269-2813,1365-2036
WOS:000170832100001,2001,Cell-to-cell contact and extracellular matrix - Editorial overview,"Burridge, K|Tsukita, S",Kyoto Univ|Univ N Carolina|Univ N Carolina,11,CURRENT OPINION IN CELL BIOLOGY,0955-0674,1879-0410
WOS:000172519000006,2001,Tibial bypass using complex autologous conduit: Patency and limb salvage,"Flinn, WR|Cohn, EJ|Lilly, MP|Halloran, BG|Benjamin, ME",Univ Maryland,12,ANNALS OF VASCULAR SURGERY,0890-5096,1615-5947
